,trustLevel,totalScanTimeInSeconds,lineItemVoids,scansWithoutRegistration,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
61,2.0,0.7758823529411765,5.0,9.0,0.14642521771976172,0.2581344071652145,0.23333333333333284,0.0
62,5.0,0.2217647058823529,2.0,7.0,0.40525594526496544,0.6812221093289734,0.09999999999999999,0.0
63,1.0,0.9511764705882352,0.0,9.0,0.11990809572362054,0.0899255789301826,0.0,0.0
64,6.0,0.5111764705882352,7.0,3.0,0.1262045774432412,0.3660048051753086,0.5444444444444441,0.0
65,1.0,0.5835294117647059,1.0,0.0,0.1917170142155646,0.15399410569916816,0.04666666666666664,0.0
67,2.0,0.7035294117647058,7.0,1.0,0.27414974202549336,0.031579718166559995,0.1959999999999998,0.0
69,4.0,0.6452941176470588,7.0,4.0,0.35820741856129396,0.015389233871289277,0.16333333333333294,0.0
70,1.0,0.4294117647058824,11.0,3.0,0.34014688831616524,0.2175277086896645,0.3849999999999996,0.0
72,6.0,0.6017647058823529,7.0,10.0,0.2514686718514439,0.2985099989055904,0.24499999999999975,0.0
73,3.0,0.7423529411764705,1.0,8.0,0.19596535836446582,0.4272474819822957,0.03684210526315784,0.0
74,2.0,0.5511764705882353,4.0,0.0,0.18798112878453954,0.13226433448003608,0.19999999999999998,0.0
76,2.0,0.06999999999999998,11.0,10.0,0.8328900312098408,0.8116668530837202,0.5499999999999997,0.0
77,4.0,0.7529411764705882,2.0,8.0,0.03350652472198253,0.20859048560905483,0.34999999999999964,0.0
78,4.0,0.6752941176470588,0.0,0.0,0.15546513829405662,0.4164025029551243,0.0,0.0
79,3.0,0.9647058823529412,3.0,1.0,0.06729219035953464,0.008430816020439167,0.23333333333333284,0.0
80,3.0,0.8888235294117647,7.0,8.0,0.06413815603667924,0.022710742345198705,0.6124999999999994,0.0
81,3.0,0.5217647058823529,1.0,9.0,0.34536184791493757,0.16001758352633363,0.02916666666666666,0.0
83,3.0,0.24647058823529408,6.0,0.0,0.5923162597148283,0.9190395860464351,0.1909090909090909,0.0
85,3.0,0.8994117647058822,6.0,5.0,0.12674804228848519,0.04525672027881803,0.27999999999999975,0.0
86,2.0,0.5570588235294117,9.0,10.0,0.1024652129323112,0.324936486954123,0.7874999999999992,0.0
87,2.0,0.7841176470588235,8.0,3.0,0.2579121442828953,0.2376195210272752,0.21538461538461537,0.0
88,5.0,0.6452941176470588,11.0,0.0,0.23576555603329533,0.4182192905610914,0.3849999999999996,0.0
89,6.0,0.9758823529411763,5.0,1.0,0.10008081943522779,0.23590962389809064,0.2692307692307692,0.0
90,5.0,0.5417647058823529,6.0,2.0,0.26244205307836777,0.3811496894079374,0.22105263157894747,0.0
91,1.0,0.5088235294117647,7.0,0.0,0.3984804649108653,0.4316880489857926,0.18148148148148113,1.0
92,2.0,0.8141176470588235,11.0,4.0,0.19929970232198635,0.030299273495860996,0.36666666666666636,0.0
93,6.0,0.6552941176470588,4.0,7.0,0.11165179658724232,0.10586916312793665,0.27999999999999975,0.0
94,2.0,0.4829411764705882,8.0,5.0,0.24358537246365392,0.003601009305976769,0.34999999999999964,0.0
96,3.0,0.8635294117647059,9.0,5.0,0.14133447106173178,0.13748423860696796,0.3937499999999996,0.0
97,2.0,0.6905882352941176,7.0,8.0,0.3134903368135203,0.40141838679044695,0.17499999999999982,1.0
99,6.0,0.4294117647058824,6.0,9.0,0.13058785391284344,0.6758512034736742,0.5249999999999995,0.0
100,6.0,0.8505882352941176,4.0,6.0,0.21017466326904094,0.29715306249723816,0.12173913043478257,0.0
101,4.0,0.27411764705882347,0.0,4.0,0.41903866885577357,0.4603160364461976,0.0,0.0
102,1.0,0.6988235294117646,7.0,7.0,0.20747118173569465,0.16808309319236078,0.257894736842105,0.0
103,1.0,0.7082352941176471,5.0,1.0,0.20487535431087503,0.17435117654111681,0.18421052631578919,0.0
104,6.0,0.44882352941176473,6.0,6.0,0.15906819248108023,0.5181194833718896,0.41999999999999954,0.0
106,3.0,0.8852941176470588,8.0,9.0,0.12874118964268405,0.2571701692246227,0.37333333333333274,0.0
109,4.0,0.9899999999999999,3.0,7.0,0.09863606986356882,0.17453135549619778,0.16153846153846155,0.0
110,4.0,0.20352941176470588,10.0,1.0,0.6528379632355861,0.017001410442486584,0.33333333333333287,0.0
112,2.0,0.6747058823529412,2.0,3.0,0.08500302483293486,0.46195510744118895,0.17499999999999982,0.0
113,3.0,0.6117647058823529,8.0,1.0,0.19632484677149967,0.4643557628759983,0.34999999999999964,0.0
114,4.0,0.6141176470588235,0.0,5.0,0.17003251187783827,0.3937950956479101,0.0,0.0
115,2.0,0.5664705882352941,9.0,0.0,0.08708934928540145,0.4985716146710031,0.9000000000000021,0.0
116,1.0,0.5052941176470588,1.0,7.0,0.2946365929659489,0.11720967298713576,0.03499999999999997,0.0
121,2.0,0.22235294117647056,1.0,5.0,0.463521853560819,0.9999999999999999,0.043749999999999956,0.0
122,4.0,0.26411764705882346,3.0,7.0,0.43158809341428084,0.9240593325145215,0.12352941176470567,0.0
123,3.0,0.1788235294117647,2.0,5.0,0.7858813632165624,0.13448138162602685,0.060869565217391224,0.0
124,3.0,0.37588235294117645,8.0,0.0,0.44000494334623297,0.4574113555789078,0.24347826086956514,0.0
126,1.0,0.20823529411764705,10.0,3.0,0.7659261979071051,0.21723470525933133,0.27999999999999975,1.0
128,6.0,0.5458823529411765,6.0,9.0,0.34583605001502726,0.07615636664099582,0.16799999999999982,0.0
130,3.0,0.798235294117647,7.0,9.0,0.2536052037457077,0.21635271475493534,0.1884615384615381,0.0
131,5.0,0.40941176470588236,3.0,3.0,0.35450603214871823,0.2926773113864539,0.10499999999999989,0.0
134,4.0,0.19705882352941176,8.0,0.0,0.9265899014380491,0.6178199930605596,0.1931034482758617,0.0
135,2.0,0.48705882352941177,6.0,10.0,0.3828490029908071,0.07244654387109085,0.16799999999999982,0.0
137,3.0,0.10176470588235292,2.0,8.0,0.43602244435211385,0.2376721677278855,0.15555555555555522,0.0
138,3.0,0.6505882352941176,3.0,1.0,0.07596754239933928,0.4657675753300119,0.3,0.0
141,5.0,0.35,2.0,5.0,0.17727679856124184,0.10106182914505552,0.15555555555555522,0.0
143,1.0,0.4511764705882353,9.0,3.0,0.49319343627033524,0.017531670156412188,0.20999999999999977,1.0
144,1.0,0.3864705882352941,0.0,8.0,0.14353016314418293,0.61338372408828,0.0,0.0
145,1.0,0.6947058823529412,7.0,1.0,0.1054844279166114,0.23426489894573538,0.4899999999999995,0.0
148,1.0,0.0988235294117647,9.0,8.0,0.44346626731824795,0.8407693518163085,0.6999999999999993,0.0
149,2.0,0.9552941176470587,2.0,0.0,0.06798880902056945,0.028295905137892017,0.15555555555555522,0.0
150,5.0,0.39235294117647057,11.0,6.0,0.5184558912733768,0.3188197659940667,0.27499999999999986,0.0
152,2.0,0.23470588235294113,1.0,3.0,0.7284900926365334,0.4212975386073008,0.02692307692307692,0.0
153,5.0,0.6876470588235294,3.0,7.0,0.1412404381616795,0.10506665992421334,0.16153846153846155,0.0
154,4.0,0.7576470588235293,7.0,9.0,0.08624669811326827,0.2475994337578543,0.5444444444444441,0.0
155,3.0,0.9470588235294116,7.0,3.0,0.2413355706870668,0.040952006601212995,0.16896551724137943,0.0
157,1.0,0.40411764705882347,7.0,8.0,0.3217442917742268,0.6472244225942023,0.27222222222222203,0.0
158,5.0,0.3676470588235293,1.0,1.0,0.01077053563131516,0.06415926736228135,0.6999999999999993,0.0
159,2.0,0.35529411764705876,8.0,9.0,0.5227626182962014,0.7275546636309201,0.21538461538461537,0.0
160,5.0,0.6652941176470588,4.0,1.0,0.3006539218484494,0.38772136875194524,0.10769230769230768,0.0
161,1.0,0.5676470588235294,1.0,4.0,0.16922689424344362,0.5310927618906374,0.05384615384615377,0.0
162,4.0,0.37411764705882344,8.0,8.0,0.36334774186429514,0.07149911397781315,0.29473684210526263,0.0
163,6.0,0.9041176470588235,1.0,5.0,0.18018223570583686,0.26363110330657696,0.03333333333333329,0.0
164,6.0,0.21,8.0,1.0,0.6995392009036914,0.470788534760754,0.24347826086956514,0.0
165,3.0,0.7605882352941176,3.0,10.0,0.1175885224248098,0.16412329038863988,0.17499999999999982,0.0
167,2.0,0.25764705882352934,4.0,4.0,0.7307835886508856,0.3464074841350828,0.09999999999999999,0.0
168,3.0,0.8076470588235294,7.0,4.0,0.22081853079384015,0.3920559769301134,0.21304347826086967,0.0
169,3.0,0.5458823529411765,0.0,6.0,0.019278168500314087,0.2047316564539625,0.0,0.0
174,2.0,0.2617647058823529,3.0,4.0,0.27802500441969413,0.9519573526739856,0.1909090909090909,0.0
175,5.0,0.5964705882352941,2.0,9.0,0.2666487087827151,0.4442057278527173,0.06666666666666658,0.0
176,5.0,0.5923529411764705,3.0,5.0,0.268344990104893,0.41332301353442674,0.09999999999999999,0.0
177,1.0,0.5552941176470588,3.0,8.0,0.3125793161159762,0.17760816916771396,0.09130434782608711,1.0
178,1.0,0.7358823529411764,5.0,7.0,0.24111685016982976,0.15894847053294228,0.15217391304347805,1.0
179,3.0,0.43823529411764706,9.0,0.0,0.17968830118599693,0.2911786565148086,0.572727272727272,0.0
181,5.0,0.7694117647058824,3.0,5.0,0.08492126563048899,0.14986777705459114,0.23333333333333284,0.0
184,5.0,0.38941176470588235,8.0,5.0,0.2942535478688636,0.07759553550996144,0.34999999999999964,0.0
185,4.0,0.768235294117647,11.0,6.0,0.2106125721653294,0.3849227911414408,0.36666666666666636,0.0
186,2.0,0.2417647058823529,0.0,1.0,0.04636471185714264,0.2469887306997279,0.0,0.0
187,6.0,0.84,11.0,8.0,0.22235114287115051,0.2618992233261749,0.32083333333333275,0.0
188,6.0,0.3176470588235294,4.0,5.0,0.439044594567111,0.006194978672073482,0.13999999999999987,0.0
189,5.0,0.29999999999999993,1.0,6.0,0.6476744988653967,0.7379278266151726,0.024999999999999963,0.0
191,5.0,0.9341176470588234,1.0,6.0,0.11333793921355903,0.32886338037391744,0.049999999999999926,0.0
193,2.0,0.9835294117647059,6.0,2.0,0.08261475826671397,0.024856246169800006,0.3818181818181811,0.0
195,5.0,0.938235294117647,2.0,5.0,0.05186156737884108,0.026798071196371783,0.19999999999999998,0.0
196,2.0,0.9623529411764705,7.0,5.0,0.12702997556983253,0.08780808363550638,0.3062499999999997,0.0
198,4.0,0.6994117647058823,4.0,6.0,0.25287031319250886,0.3528422267265896,0.12173913043478257,0.0
199,2.0,0.39117647058823524,1.0,2.0,0.4631136374609113,0.02819355916963568,0.027999999999999973,0.0
200,5.0,0.84,7.0,5.0,0.04874915895075895,0.2363646934550569,0.8166666666666682,0.0
201,2.0,0.14235294117647057,5.0,2.0,0.9986472946795952,0.4638755681414453,0.13999999999999987,0.0
202,4.0,0.6411764705882352,2.0,2.0,0.15096880013347752,0.45552104966079776,0.10769230769230768,0.0
204,5.0,0.5252941176470588,1.0,3.0,0.12303295057294564,0.38894614969822267,0.07777777777777761,0.0
205,1.0,0.5429411764705883,11.0,5.0,0.3047233260490633,0.42857310213232575,0.34999999999999964,1.0
207,1.0,0.2311764705882353,11.0,3.0,0.59346403534219,0.44231984985981854,0.36666666666666636,0.0
209,5.0,0.5399999999999999,2.0,7.0,0.0768829409016327,0.44332265856419867,0.23333333333333284,0.0
211,4.0,0.9335294117647058,3.0,6.0,0.16592095459124587,0.15137322854565322,0.10499999999999989,0.0
212,4.0,0.40117647058823525,8.0,9.0,0.26829623537652675,0.4368925122200188,0.37333333333333274,0.0
213,5.0,0.7458823529411764,5.0,10.0,0.16284306864349501,0.2630599510426271,0.21874999999999978,0.0
214,5.0,0.6,6.0,8.0,0.21295796669706252,0.5077900312983276,0.24705882352941133,0.0
216,1.0,0.33705882352941174,2.0,8.0,0.6316145320471107,0.19659660632853998,0.04666666666666664,1.0
217,2.0,0.8229411764705882,4.0,3.0,0.18742902991113042,0.03476797885812516,0.13999999999999987,0.0
219,1.0,0.2970588235294117,8.0,0.0,0.4164250588576251,0.36526573420955255,0.31111111111111045,0.0
220,6.0,0.7664705882352941,0.0,8.0,0.23204277694945943,0.07186121108085704,0.0,0.0
221,2.0,0.7811764705882352,4.0,1.0,0.2588272584477523,0.3162731291209541,0.10769230769230768,0.0
222,5.0,0.5835294117647059,8.0,9.0,0.3122181241585245,0.31345779407000596,0.23333333333333284,0.0
223,6.0,0.57,8.0,0.0,0.3736128310829992,0.14569508426233277,0.19999999999999998,0.0
224,4.0,0.12999999999999998,10.0,7.0,0.2898904248098757,0.36827207606744905,0.9999999999999999,0.0
225,1.0,0.20117647058823526,11.0,1.0,0.8173773461557233,0.19128123397630833,0.2961538461538458,1.0
226,2.0,0.8623529411764705,2.0,5.0,0.19801328733649626,0.04165404206666672,0.06363636363636356,0.0
228,4.0,0.9941176470588234,7.0,10.0,0.12299263355555701,0.30023219975824805,0.3062499999999997,0.0
229,5.0,0.33999999999999997,9.0,8.0,0.41502458749177634,0.18964575192896238,0.31499999999999967,0.0
230,1.0,0.8270588235294117,5.0,6.0,0.2550121103512933,0.1494484307203227,0.12962962962962937,1.0
231,3.0,0.3294117647058823,9.0,5.0,0.44783273558974857,0.2929386974639092,0.3,0.0
232,2.0,0.9217647058823529,6.0,7.0,0.15912762229079888,0.026677415052775207,0.22105263157894747,0.0
236,5.0,0.5264705882352941,3.0,3.0,0.3279430361664596,0.14234093095086273,0.09130434782608711,0.0
237,2.0,0.8994117647058822,1.0,3.0,0.1810945268129624,0.04925354076768081,0.03333333333333329,0.0
239,5.0,0.29647058823529404,9.0,0.0,0.6775589346540063,0.49159811142600074,0.21724137931034468,0.0
240,4.0,0.47705882352941176,7.0,1.0,0.26222963587480325,0.5728721912635186,0.2882352941176468,0.0
241,4.0,0.2647058823529411,1.0,3.0,0.48258811953207664,0.8967492335392958,0.03684210526315784,0.0
242,1.0,0.1811764705882353,10.0,3.0,0.26488384862537495,0.8608707325091166,0.8749999999999991,0.0
243,5.0,0.7870588235294117,1.0,8.0,0.2058260618058897,0.37344456079427424,0.03333333333333329,0.0
244,1.0,0.22352941176470584,10.0,5.0,0.3439744505883723,0.3320405869465984,0.5833333333333325,0.0
245,6.0,0.9794117647058823,1.0,2.0,0.06622857177125202,0.03580281516494002,0.07777777777777761,0.0
246,3.0,0.1817647058823529,3.0,5.0,0.16174388459591407,0.6702239260078353,0.41999999999999954,0.0
248,2.0,0.1376470588235294,8.0,10.0,0.5264056373874277,0.32829750934979335,0.43076923076923007,0.0
249,5.0,0.9347058823529412,4.0,1.0,0.1394920822641858,0.3017398841536822,0.16470588235294112,0.0
250,5.0,0.42470588235294116,3.0,3.0,0.1671521793763393,0.1651214862016136,0.20999999999999977,0.0
251,2.0,0.3376470588235294,4.0,3.0,0.26813883713289566,0.15214555661255635,0.21538461538461537,0.0
252,5.0,0.8529411764705882,9.0,5.0,0.12402670767440849,0.24887822478410446,0.4499999999999997,0.0
253,2.0,0.4405882352941176,0.0,10.0,0.2471749114052213,0.34806497329897224,0.0,0.0
255,3.0,0.7258823529411764,8.0,2.0,0.3103250257279995,0.35066719680813585,0.1931034482758617,0.0
256,6.0,0.758235294117647,11.0,2.0,0.2344204200787611,0.02243716251751026,0.3347826086956516,0.0
257,4.0,0.46882352941176464,8.0,7.0,0.1367037560483566,0.4045172125892896,0.6222222222222217,0.0
258,6.0,0.5682352941176471,1.0,10.0,0.14165162851861085,0.11857768266680933,0.06363636363636356,0.0
261,1.0,0.2976470588235294,10.0,1.0,0.2977361313535879,0.3707914661742372,0.5384615384615378,0.0
262,2.0,0.72,7.0,5.0,0.11294416891295787,0.35797547037569827,0.44545454545454477,0.0
263,1.0,0.8452941176470588,2.0,6.0,0.08677379984488678,0.009184478439800985,0.13999999999999987,0.0
264,5.0,0.4158823529411765,11.0,6.0,0.15236482198677692,0.31401348638910315,0.8555555555555532,0.0
265,1.0,0.42647058823529416,0.0,3.0,0.008447088825939154,0.10644623486336278,0.0,0.0
266,5.0,0.21117647058823527,6.0,4.0,0.8193884419932835,0.39299259517028773,0.15555555555555522,0.0
268,3.0,0.2723529411764706,6.0,10.0,0.39588818029549916,0.3174367160681961,0.26249999999999973,0.0
269,6.0,0.44647058823529406,11.0,4.0,0.15982408624064853,0.39949339494978336,0.7699999999999992,0.0
270,1.0,0.9029411764705881,5.0,5.0,0.08113309579385215,0.09180636747790707,0.34999999999999964,0.0
272,6.0,0.6064705882352941,6.0,3.0,0.09439894435724944,0.21723831130151375,0.5249999999999995,0.0
273,1.0,0.24411764705882352,11.0,2.0,0.48656954696976823,0.26181889161486827,0.4277777777777773,0.0
275,5.0,0.20235294117647054,0.0,4.0,0.0858451618305909,0.6492750322045091,0.0,0.0
277,3.0,0.8211764705882353,8.0,10.0,0.07950183521170609,0.10596027809969998,0.6222222222222217,0.0
278,1.0,0.28647058823529403,11.0,8.0,0.6234584955070623,0.9539944941703506,0.2961538461538458,1.0
279,4.0,0.4252941176470588,7.0,0.0,0.39582889950666517,0.5712255464547406,0.21304347826086967,0.0
281,3.0,0.7929411764705881,0.0,4.0,0.14337534739147798,0.016367495625349757,0.0,0.0
283,4.0,0.8323529411764705,10.0,9.0,0.1659435987210796,0.04241087863054718,0.38888888888888884,0.0
284,4.0,0.8229411764705882,5.0,3.0,0.07932807049752078,0.30280559129988494,0.38888888888888884,0.0
285,6.0,0.2635294117647059,0.0,1.0,0.5362239295735045,0.2022973314793161,0.0,0.0
286,6.0,0.35352941176470587,0.0,10.0,0.2579121442828953,0.15453443208529866,0.0,0.0
288,3.0,0.5047058823529411,7.0,7.0,0.37095919999747645,0.13757464854514015,0.1959999999999998,0.0
290,6.0,0.878235294117647,5.0,2.0,0.17605252948023134,0.10930881505103995,0.17499999999999982,0.0
291,2.0,0.9894117647058823,8.0,1.0,0.07381542567359033,0.07295214429968952,0.5599999999999995,0.0
292,1.0,0.9994117647058823,10.0,10.0,0.19628976428929434,0.15899285553122708,0.27999999999999975,1.0
293,6.0,0.7023529411764705,2.0,8.0,0.13840348330914276,0.20259869575970402,0.10769230769230768,0.0
294,3.0,0.9252941176470587,3.0,10.0,0.1761829313805849,0.17780297234171413,0.09999999999999999,0.0
295,2.0,0.6852941176470588,4.0,1.0,0.22291671860751713,0.1843033756371453,0.13999999999999987,0.0
296,2.0,0.44529411764705884,9.0,2.0,0.3295273426538343,0.1778626991059817,0.31499999999999967,0.0
297,2.0,0.3988235294117647,0.0,7.0,0.3068393491645036,0.1566676852656303,0.0,0.0
300,4.0,0.8805882352941176,0.0,5.0,0.027824977705645355,0.23897507259338568,0.0,0.0
301,1.0,0.6435294117647058,9.0,7.0,0.35910699142884583,0.4728678658659688,0.20999999999999977,1.0
303,3.0,0.5411764705882353,11.0,1.0,0.3628441322897566,0.14919104601144448,0.2961538461538458,0.0
304,4.0,0.07529411764705882,4.0,5.0,0.45530996127654894,0.549910465039017,0.34999999999999964,0.0
305,3.0,0.3647058823529411,7.0,1.0,0.4914098176097295,0.5433219911030128,0.1959999999999998,0.0
306,6.0,0.34352941176470586,11.0,6.0,0.20117358927713302,0.11699603472472703,0.7699999999999992,0.0
307,2.0,0.5394117647058824,3.0,5.0,0.06261780768740273,0.2608357235907232,0.41999999999999954,0.0
311,6.0,0.10999999999999999,6.0,9.0,0.4164250588576251,0.7456090961647508,0.4666666666666664,0.0
314,3.0,0.7047058823529412,5.0,7.0,0.29635078462502684,0.2569487012522459,0.12962962962962937,0.0
316,2.0,0.36882352941176466,6.0,8.0,0.090062970280978,0.14663016401138312,0.8399999999999991,0.0
320,4.0,0.8147058823529412,2.0,2.0,0.020636172768400268,0.29101410471687317,0.4666666666666664,0.0
321,6.0,0.388235294117647,8.0,2.0,0.5611420352164229,0.17542239461412698,0.1866666666666667,0.0
323,4.0,0.45882352941176474,4.0,0.0,0.3374823524780693,0.16090495293893647,0.13333333333333286,0.0
324,1.0,0.5694117647058823,11.0,3.0,0.3192354772398255,0.19200299437185794,0.32083333333333275,1.0
328,6.0,0.8458823529411764,0.0,4.0,0.17296045025730172,0.23775324656399463,0.0,0.0
329,1.0,0.6547058823529411,3.0,8.0,0.11174887855316686,0.42264162597089494,0.20999999999999977,0.0
330,1.0,0.8047058823529412,9.0,0.0,0.2617078746049377,0.3835147707895212,0.23333333333333284,1.0
331,5.0,0.37235294117647055,11.0,2.0,0.4041711962746842,0.7158184186850634,0.36666666666666636,0.0
332,2.0,0.3311764705882353,10.0,6.0,0.16420587384113805,0.6382480319836895,0.8749999999999991,0.0
333,2.0,0.5747058823529412,10.0,10.0,0.30299807332754974,0.41669298515866304,0.3043478260869561,0.0
335,2.0,0.7923529411764706,2.0,3.0,0.19434408697781466,0.3044016753802363,0.06999999999999994,0.0
336,2.0,0.4494117647058823,11.0,1.0,0.29327902978387643,0.18348366608403915,0.4277777777777773,0.0
338,3.0,0.9488235294117647,9.0,8.0,0.24952622406969804,0.26872899954309665,0.20999999999999977,0.0
339,5.0,0.9029411764705881,4.0,5.0,0.026982336903918228,0.28518724221726144,0.6999999999999993,0.0
340,6.0,0.3817647058823529,11.0,3.0,0.3185864876612081,0.4877931049957732,0.45294117647058796,0.0
341,3.0,0.42176470588235293,2.0,4.0,0.3277702197158905,0.36909548266511794,0.07368421052631582,0.0
342,4.0,0.35882352941176465,3.0,4.0,0.47787327125060103,0.2932549343332459,0.08749999999999991,0.0
343,2.0,0.16705882352941173,1.0,5.0,0.7879636040029411,0.543959096591863,0.031818181818181815,0.0
344,3.0,0.7041176470588235,5.0,4.0,0.30790299070340527,0.42102085916754406,0.12500000000000017,0.0
345,4.0,0.33999999999999997,2.0,8.0,0.35140317401460375,0.0018984372281742761,0.08235294117647021,0.0
347,2.0,0.7247058823529411,7.0,7.0,0.24460508594727481,0.008028458638212707,0.21304347826086967,0.0
348,1.0,0.6635294117647058,10.0,6.0,0.1580796467502409,0.37188632061852583,0.4999999999999993,0.0
349,4.0,0.25941176470588234,9.0,6.0,0.5166112267268878,0.9245486666305587,0.31499999999999967,0.0
350,6.0,0.848235294117647,9.0,6.0,0.11514514269992626,0.2357425985636936,0.4846153846153839,0.0
351,2.0,0.471764705882353,7.0,1.0,0.2648471388159366,0.14487354314775078,0.2882352941176468,0.0
352,3.0,0.8870588235294117,9.0,4.0,0.11931505248927701,0.16414170403083034,0.4499999999999997,0.0
354,6.0,0.5517647058823529,1.0,7.0,0.27218886032132433,0.515040950577281,0.03499999999999997,0.0
355,1.0,0.6023529411764705,2.0,0.0,0.06899019834580578,0.011551619295752893,0.23333333333333284,0.0
357,2.0,0.28941176470588237,5.0,8.0,0.11155487045111832,0.10693547512412689,0.6999999999999993,0.0
358,3.0,0.8641176470588234,0.0,2.0,0.00027924392632053263,0.3354686465480004,0.0,0.0
359,2.0,0.49235294117647055,8.0,1.0,0.33260593821453005,0.48375667179775916,0.2545454545454545,0.0
