,trustLevel,totalScanTimeInSeconds,grandTotal,lineItemVoids,scansWithoutRegistration,quantityModifications,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,fraud
25,5.0,0.40294117647058825,0.8168520188357882,8.0,7.0,1.0,0.1567185300777192,0.5972426231568199,0.6222222222222217,0.0
26,3.0,0.8070588235294117,0.23033764151888592,10.0,3.0,1.0,0.2809949120383141,0.09142730022084936,0.24137931034482768,0.0
28,6.0,0.8811764705882352,0.4048692515779983,6.0,7.0,4.0,0.19394440667136761,0.1482709725724053,0.1909090909090909,0.0
29,5.0,0.7670588235294117,0.9212503757138565,4.0,3.0,3.0,0.18996291366045168,0.38300178959956455,0.14736842105263165,0.0
32,5.0,0.44705882352941173,0.791002905520489,2.0,10.0,2.0,0.4127634448504245,0.5296584639111734,0.055999999999999946,0.0
33,2.0,0.72,0.4895301072036871,2.0,0.0,4.0,0.06855786420908104,0.21553660614131512,0.19999999999999998,0.0
35,2.0,0.12,0.144173930467889,0.0,9.0,5.0,0.21529766259577915,0.25689097166932345,0.0,0.0
36,5.0,0.4135294117647058,0.8078348862839396,0.0,10.0,3.0,0.22525376064120303,0.5779013737980784,0.0,0.0
37,2.0,0.7447058823529411,0.6269912834385334,7.0,9.0,4.0,0.2599559311640946,0.26775801859241055,0.1959999999999998,1.0
38,5.0,0.8411764705882352,0.9191463781184251,7.0,6.0,2.0,0.17389358860082435,0.35127946027838336,0.257894736842105,0.0
39,4.0,0.42117647058823526,0.22913535717863945,4.0,5.0,2.0,0.15064894604925053,0.1614221777399544,0.31111111111111045,0.0
41,2.0,0.2888235294117647,0.6085562568880875,11.0,5.0,4.0,0.1842691070986887,0.5837480749772958,0.962499999999999,0.0
42,4.0,0.518235294117647,0.600040076144675,2.0,3.0,2.0,0.2137453791754929,0.35374983597041054,0.093333333333333,0.0
45,6.0,0.48764705882352943,0.9325718865845107,7.0,2.0,3.0,0.14750538012769596,0.5795636556877505,0.4899999999999995,0.0
46,6.0,0.7658823529411765,0.7231740306582508,7.0,7.0,0.0,0.25319621894726024,0.3010731826261005,0.1959999999999998,0.0
47,6.0,0.7605882352941176,0.670173329325719,9.0,8.0,3.0,0.25485410482628346,0.2807715624176406,0.2519999999999997,0.0
48,6.0,0.9935294117647059,0.5473399458972048,0.0,0.0,1.0,0.09828083610899803,0.17940760015418356,0.0,0.0
50,4.0,0.2858823529411765,0.9089269612263302,0.0,0.0,5.0,0.015251135221117934,0.8789121103890596,0.0,0.0
51,3.0,0.86,0.255685803025749,2.0,2.0,2.0,0.2551656351934116,0.09575264567671511,0.049999999999999926,0.0
52,1.0,0.2805882352941176,0.8520188357879973,3.0,5.0,2.0,0.18872210358832664,0.8360830390542523,0.26249999999999973,0.0
53,1.0,0.7376470588235293,0.3473599839695422,5.0,8.0,4.0,0.2839996933584037,0.14962746014653605,0.12962962962962937,1.0
54,3.0,0.5011764705882352,0.14086764853221123,2.0,4.0,0.0,0.2815037573764086,0.08551342386301979,0.07368421052631582,0.0
55,1.0,0.3747058823529411,0.07243763149984973,4.0,10.0,3.0,0.20623921105909554,0.05630723878884739,0.2545454545454545,0.0
56,1.0,0.7899999999999999,0.6074541629095283,9.0,0.0,5.0,0.18469550373871252,0.24586108188525033,0.33157894736842086,0.0
57,6.0,0.32999999999999996,0.21681194269111315,7.0,7.0,5.0,0.3168036673596297,0.18696370660687917,0.32666666666666655,0.0
58,2.0,0.12941176470588234,0.5083658952008818,1.0,7.0,0.0,0.6762771913619483,0.864188116983277,0.043749999999999956,0.0
60,5.0,0.6505882352941176,0.48301773369401874,7.0,2.0,3.0,0.11243284729450131,0.2329601390633619,0.4899999999999995,0.0
61,2.0,0.7758823529411765,0.6273920448852822,5.0,9.0,3.0,0.14642521771976172,0.2581344071652145,0.23333333333333284,0.0
62,5.0,0.2217647058823529,0.5800020038072339,2.0,7.0,0.0,0.40525594526496544,0.6812221093289734,0.09999999999999999,0.0
63,1.0,0.9511764705882352,0.263500651237351,0.0,9.0,1.0,0.11990809572362054,0.0899255789301826,0.0,0.0
64,6.0,0.5111764705882352,0.6134655846107606,7.0,3.0,0.0,0.1262045774432412,0.3660048051753086,0.5444444444444441,0.0
65,1.0,0.5835294117647059,0.28985071636108617,1.0,0.0,5.0,0.1917170142155646,0.15399410569916816,0.04666666666666664,0.0
67,2.0,0.7035294117647058,0.0702334435427312,7.0,1.0,5.0,0.27414974202549336,0.031579718166559995,0.1959999999999998,0.0
69,4.0,0.6452941176470588,0.031660154293157,7.0,4.0,4.0,0.35820741856129396,0.015389233871289277,0.16333333333333294,0.0
70,1.0,0.4294117647058824,0.3138964031660155,11.0,3.0,0.0,0.34014688831616524,0.2175277086896645,0.3849999999999996,0.0
72,6.0,0.6017647058823529,0.5773970544033665,7.0,10.0,4.0,0.2514686718514439,0.2985099989055904,0.24499999999999975,0.0
73,3.0,0.7423529411764705,0.9975954313195072,1.0,8.0,0.0,0.19596535836446582,0.4272474819822957,0.03684210526315784,0.0
74,2.0,0.5511764705882353,0.2367498246668671,4.0,0.0,1.0,0.18798112878453954,0.13226433448003608,0.19999999999999998,0.0
76,2.0,0.06999999999999998,0.3400460875663762,11.0,10.0,3.0,0.8328900312098408,0.8116668530837202,0.5499999999999997,0.0
77,4.0,0.7529411764705882,0.4933373409478009,2.0,8.0,4.0,0.03350652472198253,0.20859048560905483,0.34999999999999964,0.0
78,4.0,0.6752941176470588,0.8926961226330029,0.0,0.0,3.0,0.15546513829405662,0.4164025029551243,0.0,0.0
79,3.0,0.9647058823529412,0.025047590421801425,3.0,1.0,4.0,0.06729219035953464,0.008430816020439167,0.23333333333333284,0.0
80,3.0,0.8888235294117647,0.06251878569281635,7.0,8.0,2.0,0.06413815603667924,0.022710742345198705,0.6124999999999994,0.0
81,3.0,0.5217647058823529,0.2730187355976356,1.0,9.0,0.0,0.34536184791493757,0.16001758352633363,0.02916666666666666,0.0
83,3.0,0.24647058823529408,0.8472096984270114,6.0,0.0,3.0,0.5923162597148283,0.9190395860464351,0.1909090909090909,0.0
85,3.0,0.8994117647058822,0.12593928464081758,6.0,5.0,1.0,0.12674804228848519,0.04525672027881803,0.27999999999999975,0.0
86,2.0,0.5570588235294117,0.5871155194870255,9.0,10.0,3.0,0.1024652129323112,0.324936486954123,0.7874999999999992,0.0
87,2.0,0.7841176470588235,0.5831079050195372,8.0,3.0,0.0,0.2579121442828953,0.2376195210272752,0.21538461538461537,0.0
88,5.0,0.6452941176470588,0.8608355876164715,11.0,0.0,1.0,0.23576555603329533,0.4182192905610914,0.3849999999999996,0.0
89,6.0,0.9758823529411763,0.7078449053201084,5.0,1.0,0.0,0.10008081943522779,0.23590962389809064,0.2692307692307692,0.0
90,5.0,0.5417647058823529,0.6720769461977759,6.0,2.0,4.0,0.26244205307836777,0.3811496894079374,0.22105263157894747,0.0
91,1.0,0.5088235294117647,0.7206692716160706,7.0,0.0,1.0,0.3984804649108653,0.4316880489857926,0.18148148148148113,1.0
92,2.0,0.8141176470588235,0.07694619777577398,11.0,4.0,1.0,0.19929970232198635,0.030299273495860996,0.36666666666666636,0.0
93,6.0,0.6552941176470588,0.22091974752028856,4.0,7.0,4.0,0.11165179658724232,0.10586916312793665,0.27999999999999975,0.0
94,2.0,0.4829411764705882,0.0057108506161707255,8.0,5.0,0.0,0.24358537246365392,0.003601009305976769,0.34999999999999964,0.0
96,3.0,0.8635294117647059,0.3685001502855426,9.0,5.0,3.0,0.14133447106173178,0.13748423860696796,0.3937499999999996,0.0
97,2.0,0.6905882352941176,0.8780683298266709,7.0,8.0,4.0,0.3134903368135203,0.40141838679044695,0.17499999999999982,1.0
99,6.0,0.4294117647058824,0.9753531710249476,6.0,9.0,5.0,0.13058785391284344,0.6758512034736742,0.5249999999999995,0.0
100,6.0,0.8505882352941176,0.7854924356276928,4.0,6.0,1.0,0.21017466326904094,0.29715306249723816,0.12173913043478257,0.0
101,4.0,0.27411764705882347,0.46057509267608465,0.0,4.0,4.0,0.41903866885577357,0.4603160364461976,0.0,0.0
102,1.0,0.6988235294117646,0.37160605149784603,7.0,7.0,0.0,0.20747118173569465,0.16808309319236078,0.257894736842105,0.0
103,1.0,0.7082352941176471,0.3901412684099791,5.0,1.0,3.0,0.20487535431087503,0.17435117654111681,0.18421052631578919,0.0
104,6.0,0.44882352941176473,0.776375112714157,6.0,6.0,4.0,0.15906819248108023,0.5181194833718896,0.41999999999999954,0.0
106,3.0,0.8852941176470588,0.7052399559162411,8.0,9.0,4.0,0.12874118964268405,0.2571701692246227,0.37333333333333274,0.0
109,4.0,0.9899999999999999,0.5307083458571287,3.0,7.0,4.0,0.09863606986356882,0.17453135549619778,0.16153846153846155,0.0
110,4.0,0.20352941176470588,0.013525698827772771,10.0,1.0,1.0,0.6528379632355861,0.017001410442486584,0.33333333333333287,0.0
112,2.0,0.6747058823529412,0.9895802023845308,2.0,3.0,1.0,0.08500302483293486,0.46195510744118895,0.17499999999999982,0.0
113,3.0,0.6117647058823529,0.9114317202685104,8.0,1.0,0.0,0.19632484677149967,0.4643557628759983,0.34999999999999964,0.0
114,4.0,0.6141176470588235,0.7755735898206594,0.0,5.0,3.0,0.17003251187783827,0.3937950956479101,0.0,0.0
115,2.0,0.5664705882352941,0.9142370503957522,9.0,0.0,3.0,0.08708934928540145,0.4985716146710031,0.9000000000000021,0.0
116,1.0,0.5052941176470588,0.1944694920348663,1.0,7.0,3.0,0.2946365929659489,0.11720967298713576,0.03499999999999997,0.0
121,2.0,0.22235294117647056,0.8531209297665566,1.0,5.0,3.0,0.463521853560819,0.9999999999999999,0.043749999999999956,0.0
122,4.0,0.26411764705882346,0.8983067828874864,3.0,7.0,1.0,0.43158809341428084,0.9240593325145215,0.12352941176470567,0.0
123,3.0,0.1788235294117647,0.09798617373008717,2.0,5.0,4.0,0.7858813632165624,0.13448138162602685,0.060869565217391224,0.0
124,3.0,0.37588235294117645,0.5903216110610161,8.0,0.0,1.0,0.44000494334623297,0.4574113555789078,0.24347826086956514,0.0
126,1.0,0.20823529411764705,0.17653541729285643,10.0,3.0,5.0,0.7659261979071051,0.21723470525933133,0.27999999999999975,1.0
128,6.0,0.5458823529411765,0.1351567979160405,6.0,9.0,2.0,0.34583605001502726,0.07615636664099582,0.16799999999999982,0.0
130,3.0,0.798235294117647,0.5396252880472899,7.0,9.0,1.0,0.2536052037457077,0.21635271475493534,0.1884615384615381,0.0
131,5.0,0.40941176470588236,0.4056707744714959,3.0,3.0,4.0,0.35450603214871823,0.2926773113864539,0.10499999999999989,0.0
134,4.0,0.19705882352941176,0.4825167818855827,8.0,0.0,0.0,0.9265899014380491,0.6178199930605596,0.1931034482758617,0.0
135,2.0,0.48705882352941177,0.11642120028053304,6.0,10.0,0.0,0.3828490029908071,0.07244654387109085,0.16799999999999982,0.0
137,3.0,0.10176470588235292,0.12102995691814449,2.0,8.0,0.0,0.43602244435211385,0.2376721677278855,0.15555555555555522,0.0
138,3.0,0.6505882352941176,0.9657348963029759,3.0,1.0,3.0,0.07596754239933928,0.4657675753300119,0.3,0.0
141,5.0,0.35,0.1229335737902014,2.0,5.0,4.0,0.17727679856124184,0.10106182914505552,0.15555555555555522,0.0
143,1.0,0.4511764705882353,0.026350065123735104,9.0,3.0,5.0,0.49319343627033524,0.017531670156412188,0.20999999999999977,1.0
144,1.0,0.3864705882352941,0.8101392646027454,0.0,8.0,3.0,0.14353016314418293,0.61338372408828,0.0,0.0
145,1.0,0.6947058823529412,0.5151788397956117,7.0,1.0,1.0,0.1054844279166114,0.23426489894573538,0.4899999999999995,0.0
148,1.0,0.0988235294117647,0.4213004708947001,9.0,8.0,3.0,0.44346626731824795,0.8407693518163085,0.6999999999999993,0.0
149,2.0,0.9552941176470587,0.08325819056206794,2.0,0.0,4.0,0.06798880902056945,0.028295905137892017,0.15555555555555522,0.0
150,5.0,0.39235294117647057,0.42641017934074754,11.0,6.0,4.0,0.5184558912733768,0.3188197659940667,0.27499999999999986,0.0
152,2.0,0.23470588235294113,0.37421100090171333,1.0,3.0,3.0,0.7284900926365334,0.4212975386073008,0.02692307692307692,0.0
153,5.0,0.6876470588235294,0.22893497645526503,3.0,7.0,3.0,0.1412404381616795,0.10506665992421334,0.16153846153846155,0.0
154,4.0,0.7576470588235293,0.5889189459973951,7.0,9.0,1.0,0.08624669811326827,0.2475994337578543,0.5444444444444441,0.0
155,3.0,0.9470588235294116,0.11952710149283641,7.0,3.0,5.0,0.2413355706870668,0.040952006601212995,0.16896551724137943,0.0
157,1.0,0.40411764705882347,0.8873860334635809,7.0,8.0,3.0,0.3217442917742268,0.6472244225942023,0.27222222222222203,0.0
158,5.0,0.3676470588235293,0.08125438332832381,1.0,1.0,1.0,0.01077053563131516,0.06415926736228135,0.6999999999999993,0.0
159,2.0,0.35529411764705876,0.8963029756537423,8.0,9.0,3.0,0.5227626182962014,0.7275546636309201,0.21538461538461537,0.0
160,5.0,0.6652941176470588,0.820158300771466,4.0,1.0,0.0,0.3006539218484494,0.38772136875194524,0.10769230769230768,0.0
161,1.0,0.5676470588235294,0.9756537421100092,1.0,4.0,1.0,0.16922689424344362,0.5310927618906374,0.05384615384615377,0.0
162,4.0,0.37411764705882344,0.09187456166716763,8.0,8.0,3.0,0.36334774186429514,0.07149911397781315,0.29473684210526263,0.0
163,6.0,0.9041176470588235,0.7371004909327724,1.0,5.0,3.0,0.18018223570583686,0.26363110330657696,0.03333333333333329,0.0
164,6.0,0.21,0.3850315599639315,8.0,1.0,2.0,0.6995392009036914,0.470788534760754,0.24347826086956514,0.0
165,3.0,0.7605882352941176,0.39174431419697436,3.0,10.0,5.0,0.1175885224248098,0.16412329038863988,0.17499999999999982,0.0
167,2.0,0.25764705882352934,0.3303276224827172,4.0,4.0,0.0,0.7307835886508856,0.3464074841350828,0.09999999999999999,0.0
168,3.0,0.8076470588235294,0.9883779180442843,7.0,4.0,0.0,0.22081853079384015,0.3920559769301134,0.21304347826086967,0.0
169,3.0,0.5458823529411765,0.36339044183949515,0.0,6.0,4.0,0.019278168500314087,0.2047316564539625,0.0,0.0
174,2.0,0.2617647058823529,0.919046187756738,3.0,4.0,3.0,0.27802500441969413,0.9519573526739856,0.1909090909090909,0.0
175,5.0,0.5964705882352941,0.8525197875964333,2.0,9.0,0.0,0.2666487087827151,0.4442057278527173,0.06666666666666658,0.0
176,5.0,0.5923529411764705,0.7883979561166218,3.0,5.0,0.0,0.268344990104893,0.41332301353442674,0.09999999999999999,0.0
177,1.0,0.5552941176470588,0.32000801522893507,3.0,8.0,0.0,0.3125793161159762,0.17760816916771396,0.09130434782608711,1.0
178,1.0,0.7358823529411764,0.36819957920048096,5.0,7.0,1.0,0.24111685016982976,0.15894847053294228,0.15217391304347805,1.0
179,3.0,0.43823529411764706,0.4275122733193068,9.0,0.0,2.0,0.17968830118599693,0.2911786565148086,0.572727272727272,0.0
181,5.0,0.7694117647058824,0.3614868249674382,3.0,5.0,5.0,0.08492126563048899,0.14986777705459114,0.23333333333333284,0.0
184,5.0,0.38941176470588235,0.10309588217613468,8.0,5.0,1.0,0.2942535478688636,0.07759553550996144,0.34999999999999964,0.0
185,4.0,0.768235294117647,0.9271616070534017,11.0,6.0,5.0,0.2106125721653294,0.3849227911414408,0.36666666666666636,0.0
186,2.0,0.2417647058823529,0.22432621981765355,0.0,1.0,5.0,0.04636471185714264,0.2469887306997279,0.0,0.0
187,6.0,0.84,0.6844003606853022,11.0,8.0,5.0,0.22235114287115051,0.2618992233261749,0.32083333333333275,0.0
188,6.0,0.3176470588235294,0.006913134956417193,4.0,5.0,3.0,0.439044594567111,0.006194978672073482,0.13999999999999987,0.0
189,5.0,0.29999999999999993,0.7928063320308588,1.0,6.0,1.0,0.6476744988653967,0.7379278266151726,0.024999999999999963,0.0
191,5.0,0.9341176470588234,0.9476004408375917,1.0,6.0,3.0,0.11333793921355903,0.32886338037391744,0.049999999999999926,0.0
193,2.0,0.9835294117647059,0.07514277126540428,6.0,2.0,0.0,0.08261475826671397,0.024856246169800006,0.3818181818181811,0.0
195,5.0,0.938235294117647,0.07754733994589721,2.0,5.0,3.0,0.05186156737884108,0.026798071196371783,0.19999999999999998,0.0
196,2.0,0.9623529411764705,0.26009417893998604,7.0,5.0,1.0,0.12702997556983253,0.08780808363550638,0.3062499999999997,0.0
198,4.0,0.6994117647058823,0.780683298266707,4.0,6.0,1.0,0.25287031319250886,0.3528422267265896,0.12173913043478257,0.0
199,2.0,0.39117647058823524,0.03757138563270213,1.0,2.0,0.0,0.4631136374609113,0.02819355916963568,0.027999999999999973,0.0
200,5.0,0.84,0.6176735798016232,7.0,5.0,2.0,0.04874915895075895,0.2363646934550569,0.8166666666666682,0.0
201,2.0,0.14235294117647057,0.28995090672277335,5.0,2.0,4.0,0.9986472946795952,0.4638755681414453,0.13999999999999987,0.0
202,4.0,0.6411764705882352,0.9322713154994492,2.0,2.0,0.0,0.15096880013347752,0.45552104966079776,0.10769230769230768,0.0
204,5.0,0.5252941176470588,0.6675683799218517,1.0,3.0,0.0,0.12303295057294564,0.38894614969822267,0.07777777777777761,0.0
205,1.0,0.5429411764705883,0.7571385632702136,11.0,5.0,4.0,0.3047233260490633,0.42857310213232575,0.34999999999999964,1.0
207,1.0,0.2311764705882353,0.3884380322612966,11.0,3.0,3.0,0.59346403534219,0.44231984985981854,0.36666666666666636,0.0
209,5.0,0.5399999999999999,0.7794810139264604,2.0,7.0,0.0,0.0768829409016327,0.44332265856419867,0.23333333333333284,0.0
211,4.0,0.9335294117647058,0.4359282637010321,3.0,6.0,0.0,0.16592095459124587,0.15137322854565322,0.10499999999999989,0.0
212,4.0,0.40117647058823525,0.5953311291453763,8.0,9.0,2.0,0.26829623537652675,0.4368925122200188,0.37333333333333274,0.0
213,5.0,0.7458823529411764,0.6168720569081255,5.0,10.0,5.0,0.16284306864349501,0.2630599510426271,0.21874999999999978,0.0
214,5.0,0.6,0.9796613565774975,6.0,8.0,1.0,0.21295796669706252,0.5077900312983276,0.24705882352941133,0.0
216,1.0,0.33705882352941174,0.23194068730588122,2.0,8.0,3.0,0.6316145320471107,0.19659660632853998,0.04666666666666664,1.0
217,2.0,0.8229411764705882,0.08916942190161307,4.0,3.0,3.0,0.18742902991113042,0.03476797885812516,0.13999999999999987,0.0
219,1.0,0.2970588235294117,0.3893397455164814,8.0,0.0,4.0,0.4164250588576251,0.36526573420955255,0.31111111111111045,0.0
220,6.0,0.7664705882352941,0.17272818354874264,0.0,8.0,0.0,0.23204277694945943,0.07186121108085704,0.0,0.0
221,2.0,0.7811764705882352,0.773469592225228,4.0,1.0,2.0,0.2588272584477523,0.3162731291209541,0.10769230769230768,0.0
222,5.0,0.5835294117647059,0.5900210399759545,8.0,9.0,1.0,0.3122181241585245,0.31345779407000596,0.23333333333333284,0.0
223,6.0,0.57,0.2686103596833985,8.0,0.0,2.0,0.3736128310829992,0.14569508426233277,0.19999999999999998,0.0
224,4.0,0.12999999999999998,0.21721270413786198,10.0,7.0,0.0,0.2898904248098757,0.36827207606744905,0.9999999999999999,0.0
225,1.0,0.20117647058823526,0.15158801723274223,11.0,1.0,0.0,0.8173773461557233,0.19128123397630833,0.2961538461538458,1.0
226,2.0,0.8623529411764705,0.11151187255785995,2.0,5.0,5.0,0.19801328733649626,0.04165404206666672,0.06363636363636356,0.0
228,4.0,0.9941176470588234,0.9164412383528707,7.0,10.0,4.0,0.12299263355555701,0.30023219975824805,0.3062499999999997,0.0
229,5.0,0.33999999999999997,0.22532812343452563,9.0,8.0,0.0,0.41502458749177634,0.18964575192896238,0.31499999999999967,0.0
230,1.0,0.8270588235294117,0.3850315599639315,5.0,6.0,1.0,0.2550121103512933,0.1494484307203227,0.12962962962962937,1.0
231,3.0,0.3294117647058823,0.3392445646728785,9.0,5.0,1.0,0.44783273558974857,0.2929386974639092,0.3,0.0
232,2.0,0.9217647058823529,0.07594429415890193,6.0,7.0,5.0,0.15912762229079888,0.026677415052775207,0.22105263157894747,0.0
236,5.0,0.5264705882352941,0.24476505360184356,3.0,3.0,0.0,0.3279430361664596,0.14234093095086273,0.09130434782608711,0.0
237,2.0,0.8994117647058822,0.1370604147880974,1.0,3.0,2.0,0.1810945268129624,0.04925354076768081,0.03333333333333329,0.0
239,5.0,0.29647058823529404,0.5231940687305882,9.0,0.0,5.0,0.6775589346540063,0.49159811142600074,0.21724137931034468,0.0
240,4.0,0.47705882352941176,0.9045185853120932,7.0,1.0,5.0,0.26222963587480325,0.5728721912635186,0.2882352941176468,0.0
241,4.0,0.2647058823529411,0.873259192465685,1.0,3.0,1.0,0.48258811953207664,0.8967492335392958,0.03684210526315784,0.0
242,1.0,0.1811764705882353,0.6334034665865145,10.0,3.0,2.0,0.26488384862537495,0.8608707325091166,0.8749999999999991,0.0
243,5.0,0.7870588235294117,0.9195471395651741,1.0,8.0,3.0,0.2058260618058897,0.37344456079427424,0.03333333333333329,0.0
244,1.0,0.22352941176470584,0.2843402464682898,10.0,5.0,2.0,0.3439744505883723,0.3320405869465984,0.5833333333333325,0.0
245,6.0,0.9794117647058823,0.10780482917543334,1.0,2.0,4.0,0.06622857177125202,0.03580281516494002,0.07777777777777761,0.0
246,3.0,0.1817647058823529,0.4942390542029858,3.0,5.0,5.0,0.16174388459591407,0.6702239260078353,0.41999999999999954,0.0
248,2.0,0.1376470588235294,0.20078148482116023,8.0,10.0,2.0,0.5264056373874277,0.32829750934979335,0.43076923076923007,0.0
249,5.0,0.9347058823529412,0.8699529105300072,4.0,1.0,3.0,0.1394920822641858,0.3017398841536822,0.16470588235294112,0.0
250,5.0,0.42470588235294116,0.23604849213505666,3.0,3.0,1.0,0.1671521793763393,0.1651214862016136,0.20999999999999977,0.0
251,2.0,0.3376470588235294,0.17974150886684703,4.0,3.0,3.0,0.26813883713289566,0.15214555661255635,0.21538461538461537,0.0
252,5.0,0.8529411764705882,0.6595531509868753,9.0,5.0,4.0,0.12402670767440849,0.24887822478410446,0.4499999999999997,0.0
253,2.0,0.4405882352941176,0.513375413285242,0.0,10.0,3.0,0.2471749114052213,0.34806497329897224,0.0,0.0
255,3.0,0.7258823529411764,0.8023244163911434,8.0,2.0,1.0,0.3103250257279995,0.35066719680813585,0.1931034482758617,0.0
256,6.0,0.758235294117647,0.05340146277928064,11.0,2.0,2.0,0.2344204200787611,0.02243716251751026,0.3347826086956516,0.0
257,4.0,0.46882352941176464,0.6291954713956519,8.0,7.0,4.0,0.1367037560483566,0.4045172125892896,0.6222222222222217,0.0
258,6.0,0.5682352941176471,0.21801422703135961,1.0,10.0,0.0,0.14165162851861085,0.11857768266680933,0.06363636363636356,0.0
261,1.0,0.2976470588235294,0.3958521190261498,10.0,1.0,0.0,0.2977361313535879,0.3707914661742372,0.5384615384615378,0.0
262,2.0,0.72,0.8130447850916743,7.0,5.0,0.0,0.11294416891295787,0.35797547037569827,0.44545454545454477,0.0
263,1.0,0.8452941176470588,0.024145877166616574,2.0,6.0,2.0,0.08677379984488678,0.009184478439800985,0.13999999999999987,0.0
264,5.0,0.4158823529411765,0.44103797214707957,11.0,6.0,2.0,0.15236482198677692,0.31401348638910315,0.8555555555555532,0.0
265,1.0,0.42647058823529416,0.1526901112113015,0.0,3.0,5.0,0.008447088825939154,0.10644623486336278,0.0,0.0
266,5.0,0.21117647058823527,0.3227131549944896,6.0,4.0,3.0,0.8193884419932835,0.39299259517028773,0.15555555555555522,0.0
268,3.0,0.2723529411764706,0.3160004007614468,6.0,10.0,4.0,0.39588818029549916,0.3174367160681961,0.26249999999999973,0.0
269,6.0,0.44647058823529406,0.5959322713154996,11.0,4.0,4.0,0.15982408624064853,0.39949339494978336,0.7699999999999992,0.0
270,1.0,0.9029411764705881,0.25638713555755943,5.0,5.0,3.0,0.08113309579385215,0.09180636747790707,0.34999999999999964,0.0
272,6.0,0.6064705882352941,0.42310389740506976,6.0,3.0,3.0,0.09439894435724944,0.21723831130151375,0.5249999999999995,0.0
273,1.0,0.24411764705882352,0.23955515479410885,11.0,2.0,1.0,0.48656954696976823,0.26181889161486827,0.4277777777777773,0.0
275,5.0,0.20235294117647054,0.5168820759442943,0.0,4.0,1.0,0.0858451618305909,0.6492750322045091,0.0,0.0
277,3.0,0.8211764705882353,0.2712153090872659,8.0,10.0,1.0,0.07950183521170609,0.10596027809969998,0.6222222222222217,0.0
278,1.0,0.28647058823529403,0.98817753732091,11.0,8.0,2.0,0.6234584955070623,0.9539944941703506,0.2961538461538458,1.0
279,4.0,0.4252941176470588,0.8176535417292858,7.0,0.0,5.0,0.39582889950666517,0.5712255464547406,0.21304347826086967,0.0
281,3.0,0.7929411764705881,0.0405770964833183,0.0,4.0,3.0,0.14337534739147798,0.016367495625349757,0.0,0.0
283,4.0,0.8323529411764705,0.10990882677086466,10.0,9.0,2.0,0.1659435987210796,0.04241087863054718,0.38888888888888884,0.0
284,4.0,0.8229411764705882,0.7765754934375314,5.0,3.0,4.0,0.07932807049752078,0.30280559129988494,0.38888888888888884,0.0
285,6.0,0.2635294117647059,0.19627291854523599,0.0,1.0,1.0,0.5362239295735045,0.2022973314793161,0.0,0.0
